"Account","Current Stage","Amount","Sessions","Amount","Recently Seen"
"Ndax","cf757db2-9e03-4aa0-b1f0-15b9f44f9c6e","$63,120.00","1","$63,120.00",""
"Bakkt","cfc0c7ca-3db8-4b5e-8773-378bd14e8a2a","$61,800.00","1","$61,800.00",""
"JMP","027fd26e-74bb-4ffb-993d-11fbf557f1fe","$60,000.00","1","$60,000.00","[object Object]"
"Tap Payments","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$55,440.00","1","$55,440.00","[object Object]"
"Powerful Medical","cfc0c7ca-3db8-4b5e-8773-378bd14e8a2a","$53,760.00","1","$53,760.00",""
"Log My Care","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$52,000.00","1","$52,000.00",""
"Trusted Media Brands","2bc211b5-bb6d-439d-b68d-a54d80dab00f","$50,400.00","1","$50,400.00",""
"Diageo","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$50,000.00","1","$50,000.00","[object Object]"
"Ubisoft","a6f38f50-8c92-4206-850d-52c478420fbb","$48,000.00","1","$48,000.00","[object Object]"
"Aurion","a6f38f50-8c92-4206-850d-52c478420fbb","$47,640.00","1","$47,640.00","[object Object]"
"Apple","6c027202-94e7-4b98-9721-d98d52ae3729","$47,520.00","5","$47,520.00","[object Object]"
"Pulsant","a6f38f50-8c92-4206-850d-52c478420fbb","$47,160.00","3","$47,160.00",""
"Bilt","a6f38f50-8c92-4206-850d-52c478420fbb","$45,000.00","5","$45,000.00","[object Object]"
"Talentia Software","6c027202-94e7-4b98-9721-d98d52ae3729","$45,000.00","1","$45,000.00",""
"King","a6f38f50-8c92-4206-850d-52c478420fbb","$42,000.00","1","$42,000.00","[object Object]"
"Last Mile Solutions","5187b87d-3d51-4837-9279-cc337257f5b9","$40,512.00","10","$40,512.00",""
"Cendyn","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$40,000.00","1","$40,000.00","[object Object]"
"Coupang","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$40,000.00","4","$40,000.00",""
"Thai Credit Guarantee Corporation (TCG)","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$40,000.00","1","$40,000.00","[object Object]"
"HiringBranch","fe2e131c-aadc-4c98-842e-4aea1d404747","$39,720.00","3","$39,720.00",""
"Otonom Solution","6c027202-94e7-4b98-9721-d98d52ae3729","$37,000.00","1","$37,000.00","[object Object]"
"PrimeRevenue","2bc211b5-bb6d-439d-b68d-a54d80dab00f","$35,640.00","1","$35,640.00","[object Object]"
"NASA - National Aeronautics & Space Administration","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$35,000.00","1","$35,000.00","[object Object]"
"Corsearch","a6f38f50-8c92-4206-850d-52c478420fbb","$34,560.00","1","$34,560.00",""
"Rightway","cfc0c7ca-3db8-4b5e-8773-378bd14e8a2a","$33,996.00","1","$33,996.00","[object Object]"
"Express Evaluations","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$31,848.00","2","$31,848.00",""
"Bango","6c027202-94e7-4b98-9721-d98d52ae3729","$30,000.00","1","$30,000.00","[object Object]"
"Investec","027fd26e-74bb-4ffb-993d-11fbf557f1fe","$30,000.00","1","$30,000.00","[object Object]"
"DYNAMES","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$27,600.00","1","$27,600.00","[object Object]"
"Swiss GRC","a6f38f50-8c92-4206-850d-52c478420fbb","$27,300.00","1","$27,300.00","[object Object]"
"BoardOutlook","276e8171-4140-4f62-8b97-26b558bc9084","$27,180.00","1","$27,180.00","[object Object]"
"Trilogy Care","027fd26e-74bb-4ffb-993d-11fbf557f1fe","$26,250.00","1","$26,250.00",""
"Go Autonomous","2bc211b5-bb6d-439d-b68d-a54d80dab00f","$24,540.00","2","$24,540.00",""
"Elevation Church","a6f38f50-8c92-4206-850d-52c478420fbb","$23,700.00","5","$23,700.00",""
"LeoTech","8ab7f7a9-c8b7-4eed-b5b1-58d0bd73c05d","$21,960.00","1","$21,960.00","[object Object]"
"Rectangle Health","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$20,000.00","1","$20,000.00","[object Object]"
"Finalsite","96f6107e-468f-416c-8cc8-833cc203b2f6","$19,800.00","1","$19,800.00","[object Object]"
"VERISIGN","a6f38f50-8c92-4206-850d-52c478420fbb","$19,200.00","1","$19,200.00","[object Object]"
"RocketRez","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$18,000.00","1","$18,000.00","[object Object]"
"Payerset","a6f38f50-8c92-4206-850d-52c478420fbb","$17,010.00","1","$17,010.00","[object Object]"
"Incredibuild","6c027202-94e7-4b98-9721-d98d52ae3729","$16,744.00","1","$16,744.00","[object Object]"
"Liquibase","a6f38f50-8c92-4206-850d-52c478420fbb","$15,924.00","2","$15,924.00","[object Object]"
"YPulse","a6f38f50-8c92-4206-850d-52c478420fbb","$15,600.00","4","$15,600.00","[object Object]"
"Trinity Cyber","a6f38f50-8c92-4206-850d-52c478420fbb","$15,480.00","1","$15,480.00","[object Object]"
"LGM Financial Services","a6f38f50-8c92-4206-850d-52c478420fbb","$14,850.00","1","$14,850.00","[object Object]"
"FusionAuth","contractsent","$14,670.00","8","$14,670.00","[object Object]"
"ComplianceTech","2bc211b5-bb6d-439d-b68d-a54d80dab00f","$14,400.00","1","$14,400.00","[object Object]"
"Dropzone AI","a6f38f50-8c92-4206-850d-52c478420fbb","$14,184.00","1","$14,184.00",""
"Republic Bank Of Chicago","a6f38f50-8c92-4206-850d-52c478420fbb","$13,315.20","1","$13,315.20","[object Object]"
"Gantner","7297cae9-2e62-4d62-85e3-1d7dfd2b83c6","$12,900.00","1","$12,900.00","[object Object]"
"Recurve","2bc211b5-bb6d-439d-b68d-a54d80dab00f","$12,000.00","1","$12,000.00",""
"Humentum","7297cae9-2e62-4d62-85e3-1d7dfd2b83c6","$11,940.00","1","$11,940.00",""
"MotivHealth","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$11,432.00","1","$11,432.00",""
"Spotlight Sports Group","a6f38f50-8c92-4206-850d-52c478420fbb","$11,280.00","1","$11,280.00",""
"GPS Insight","a6f38f50-8c92-4206-850d-52c478420fbb","$10,800.00","1","$10,800.00",""
"Aurora Payments","a6f38f50-8c92-4206-850d-52c478420fbb","$10,200.00","1","$10,200.00",""
"Telecom26","a6f38f50-8c92-4206-850d-52c478420fbb","$9,300.00","2","$9,300.00","[object Object]"
"Macro","a6f38f50-8c92-4206-850d-52c478420fbb","$9,180.00","1","$9,180.00","[object Object]"
"Pupuk Indonesia","fe2e131c-aadc-4c98-842e-4aea1d404747","$8,160.00","1","$8,160.00","[object Object]"
"AdCellerant","a6f38f50-8c92-4206-850d-52c478420fbb","$6,000.00","1","$6,000.00","[object Object]"
"Betty Blocks","a6f38f50-8c92-4206-850d-52c478420fbb","$6,000.00","1","$6,000.00","[object Object]"
"Ooma","a6f38f50-8c92-4206-850d-52c478420fbb","$6,000.00","1","$6,000.00","[object Object]"
"Charles","2bc211b5-bb6d-439d-b68d-a54d80dab00f","$5,340.00","2","$5,340.00",""
"Advarra","a6f38f50-8c92-4206-850d-52c478420fbb","$4,500.00","1","$4,500.00",""
"Brunswick County Code Administration","a6f38f50-8c92-4206-850d-52c478420fbb","$3,990.00","1","$3,990.00","[object Object]"
"Berklee College Of Music","7297cae9-2e62-4d62-85e3-1d7dfd2b83c6","$2,200.00","1","$2,200.00","[object Object]"
"Foo","","$0.00","3","$0.00","[object Object]"
"Infosys","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$0.00","10","$0.00","[object Object]"
"Interactions LLC","","$0.00","2","$0.00","[object Object]"
"Landsea Homes","","$0.00","1","$0.00","[object Object]"
"Mantel Group","","$0.00","1","$0.00","[object Object]"
"NFP","","$0.00","1","$0.00","[object Object]"
"Pulte","","$0.00","1","$0.00","[object Object]"
"Colorado Rapids Youth Soccer Club","","$0.00","1","$0.00","[object Object]"
"Texas State Auditor's Office","","$0.00","1","$0.00",""
"Tech Alchemy","","$0.00","1","$0.00","[object Object]"
"UMass Lowell","","$0.00","1","$0.00","[object Object]"
"","","","","",""
"Date Range: 6/28/2025 - 7/28/2025","","","","",""
"Goals: FusionAuth Contact Us, Passwordless Landing Page (Paid Ads - External)","","","","",""
"Total Value: $7.3M","","","","",""
"Number of Opportunities: 105","","","","",""
"Source: Salesforce","","","","",""
"","","","","",""
"Report generated at 7/28/2025, 12:25 PM","","","","",""
